age;temperature_minimum_average;pollen_Psylvestris;pollen_Puncinata;pollen_Bpendula;pollen_Cavellana;pollen_Qpetraea;real_charcoal;ignitions;charcoal_sum;charcoal_Psylvestris;charcoal_Puncinata;charcoal_Bpendula;charcoal_Cavellana;charcoal_Qpetraea 
-15000;-4.3409604549408005;0;0;0;0;0;0;0;0;0;0;0;0;0
-14999;-6.0409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14998;-4.8409604549408005;0;0;0;0;0;0;0;0;0;0;0;0;0
-14997;-4.2409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14996;-4.7409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14995;-4.4409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14994;-4.6409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14993;-4.7409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14992;-5.1409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14991;-3.1409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14990;-3.9409604549407997;0;0;0;0;0;0;0;0;0;0;0;0;0
-14989;-5.740960454940799;0;0;0;0;0;0;0;0;0;0;0;0;0
-14988;-3.6409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14987;-5.0409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14986;-4.5409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14985;-4.0409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14984;-5.3409604549408005;0;0;0;0;0;0;0;0;0;0;0;0;0
-14983;-4.7409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14982;-5.5409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14981;-4.6409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14980;-5.4409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14979;-3.3409604549407996;0;0;0;0;0;0;0;0;0;0;0;0;0
-14978;-4.4409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14977;-5.1409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14976;-5.0409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14975;-4.0409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14974;-4.6409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14973;-5.8409604549408005;0;0;0;0;0;0;0;0;0;0;0;0;0
-14972;-3.9409604549407997;0;0;0;0;0;0;0;0;0;0;0;0;0
-14971;-3.8409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14970;-4.3409604549408005;0;0;0;0;0;0;0;0;0;0;0;0;0
-14969;-5.0409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14968;-3.5409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14967;-4.7409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14966;-4.3409604549408005;0;0;0;0;0;0;0;0;0;0;0;0;0
-14965;-6.1409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14964;-5.1409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14963;-4.1409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
-14962;-3.7409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14961;-3.0409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14960;-3.4409604549408;0;0;0;0;0;0;0;0;0;0;0;0;0
-14959;-4.1409604549407995;0;0;0;0;0;0;0;0;0;0;0;0;0
