age;temperature_minimum_average;pollen_Psylvestris;pollen_Puncinata;pollen_Bpendula;pollen_Cavellana;pollen_Qpetraea;real_charcoal;ignitions;charcoal_sum;charcoal_Psylvestris;charcoal_Puncinata;charcoal_Bpendula;charcoal_Cavellana;charcoal_Qpetraea 
-15000;-4.3409604549408005;206712;2262;1717;0;0;0;0;0;0;0;0;0;0
-14999;-6.0409604549408;182139;1594;1107;0;0;0;0;0;0;0;0;0;0
-14998;-4.8409604549408005;201789;1957;1505;0;0;0;0;0;0;0;0;0;0
-14997;-4.2409604549408;209532;2177;1724;0;0;0;0;0;0;0;0;0;0
-14996;-4.7409604549408;204279;1965;1502;0;0;0;0;0;0;0;0;0;0
-14995;-4.4409604549408;208669;2061;1626;0;0;0;0;0;0;0;0;0;0
-14994;-4.6409604549407995;206809;1980;1534;0;0;0;0;0;0;0;0;0;0
-14993;-4.7409604549408;206061;1941;1526;0;0;0;0;0;0;0;0;0;0
-14992;-5.1409604549407995;201027;1765;1404;0;0;0;0;0;0;0;0;0;0
-14991;-3.1409604549408;222077;2510;2307;0;0;0;0;0;0;0;0;0;0
-14990;-3.9409604549407997;216404;2333;1968;0;0;0;0;0;0;0;0;0;0
-14989;-5.740960454940799;195018;1556;1251;0;0;0;0;0;0;0;0;0;0
-14988;-3.6409604549408;219999;2386;2171;0;0;0;0;0;0;0;0;0;0
-14987;-5.0409604549408;205496;1852;1620;0;0;0;0;0;0;0;0;0;0
-14986;-4.5409604549408;212184;2085;1834;0;0;0;0;0;0;0;0;0;0
-14985;-4.0409604549408;217318;2292;2028;0;0;0;0;0;0;0;0;0;0
-14984;-5.3409604549408005;203088;1812;1506;0;0;0;0;0;0;0;0;0;0
-14983;-4.7409604549408;211349;2025;1783;0;0;0;0;0;0;0;0;0;0
-14982;-5.5409604549408;200962;1720;1411;0;0;0;0;0;0;0;0;0;0
-14981;-4.6409604549407995;213761;2062;1739;0;0;0;0;0;0;0;0;0;0
-14980;-5.4409604549408;203651;1735;1379;0;0;0;0;0;0;0;0;0;0
-14979;-3.3409604549407996;226444;2526;2289;0;0;0;0;0;0;0;0;0;0
-14978;-4.4409604549408;218101;2192;1745;0;0;0;0;0;0;0;0;0;0
-14977;-5.1409604549407995;210497;1896;1415;0;0;0;0;0;0;0;0;0;0
